game_id,qbelo1_pre,qbelo2_pre,qb1_adj,qb2_adj
2000_21_BAL_NYG,1706.64907,1622.559916,-5.893585911,23.3305999
2001_21_STL_NE,1748.798431,1652.169287,7.986106172,-8.676408788
2003_08_MIA_SD,1600.315033,1426.677752,0.063036447,-4.886905587
2005_02_NYG_NO,1464.35602,1505.142504,-7.457524977,1.261509198
2005_04_SF_ARI,1354.36652,1384.008251,-9.234440088,12.19844178
2005_04_BUF_NO,1486.464683,1451.60921,-5.101909216,-9.855443006
2005_06_ATL_NO,1577.648962,1446.264275,5.295706943,-11.16202701
2005_16_DET_NO,1366.813882,1333.985061,-11.81334623,-56.38256945
2005_21_SEA_PIT,1673.864956,1725.320439,19.64159301,27.41136548
2006_21_IND_CHI,1701.737206,1626.387665,4.014514871,-10.43824004
2007_08_NYG_MIA,1559.543963,1355.762058,7.160212995,-44.24039128
2007_21_NYG_NE,1605.048576,1814.366226,4.103395726,22.02622314
2008_08_SD_NO,1573.073508,1478.069697,16.64199016,15.9027444
2008_21_PIT_ARI,1687.372765,1574.148998,-5.936990235,15.51808935
2009_07_NE_TB,1642.891487,1362.779465,27.96053494,-42.90842772
2009_21_NO_IND,1668.018664,1659.383935,25.79835288,6.796840514
2010_08_DEN_SF,1394.346739,1440.496989,12.68249206,-20.88749417
2010_14_NYG_MIN,1562.035533,1515.400414,8.125883916,-17.84714586
2010_21_PIT_GB,1628.838786,1712.700704,31.97294705,17.0504619
2011_07_CHI_TB,1532.914658,1509.482312,3.889273242,6.376452005
2011_21_NYG_NE,1645.077184,1732.475356,14.68923798,18.36138697
2012_08_NE_STL,1673.039239,1430.664344,10.70401459,3.696057282
2012_21_BAL_SF,1664.437657,1700.053329,16.40441153,27.92025991
2013_04_PIT_MIN,1453.74726,1444.997327,-0.810095623,-49.72611519
2013_08_SF_JAX,1651.927528,1265.501393,-4.403896302,14.03284342
2014_04_MIA_OAK,1452.85199,1340.653339,-8.168842623,1.128046935
2014_08_DET_ATL,1566.328948,1425.891679,-10.18831987,-1.253898587
2014_10_DAL_JAX,1558.403247,1302.657737,13.54193337,30.63394773
2014_21_NE_SEA,1713.958185,1738.618505,12.44567498,0.554444406
